Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.84     0.00        1     0.00     0.00  camlWriteInstrToFile__entry
  0.00      3.84     0.00        1     0.00     0.00  caml_alloc_array
  0.00      3.84     0.00        1     0.00     0.00  caml_alloc_for_heap
  0.00      3.84     0.00        1     0.00     0.00  caml_classify_float_unboxed
  0.00      3.84     0.00        1     0.00     0.00  caml_convert_flag_list
  0.00      3.84     0.00        1     0.00     0.00  caml_copy_int32
  0.00      3.84     0.00        1     0.00     0.00  caml_debugger_init
  0.00      3.84     0.00        1     0.00     0.00  caml_executable_name
  0.00      3.84     0.00        1     0.00     0.00  caml_ext_table_add
  0.00      3.84     0.00        1     0.00     0.00  caml_ext_table_init
  0.00      3.84     0.00        1     0.00     0.00  caml_fill_bytes
  0.00      3.84     0.00        1     0.00     0.00  caml_finalize_channel
  0.00      3.84     0.00        1     0.00     0.00  caml_init_alloc_for_heap
  0.00      3.84     0.00        1     0.00     0.00  caml_init_atom_table
  0.00      3.84     0.00        1     0.00     0.00  caml_init_backtrace
  0.00      3.84     0.00        1     0.00     0.00  caml_init_custom_operations
  0.00      3.84     0.00        1     0.00     0.00  caml_init_frame_descriptors
  0.00      3.84     0.00        1     0.00     0.00  caml_init_gc
  0.00      3.84     0.00        1     0.00     0.00  caml_init_major_heap
  0.00      3.84     0.00        1     0.00     0.00  caml_init_signals
  0.00      3.84     0.00        1     0.00     0.00  caml_install_signal_handler
  0.00      3.84     0.00        1     0.00     0.00  caml_lessequal
  0.00      3.84     0.00        1     0.00     0.00  caml_make_free_blocks
  0.00      3.84     0.00        1     0.00     0.00  caml_ml_close_channel
  0.00      3.84     0.00        1     0.00     0.00  caml_ml_out_channels_list
  0.00      3.84     0.00        1     0.00     0.00  caml_ml_set_channel_name
  0.00      3.84     0.00        1     0.00     0.00  caml_obj_set_tag
