Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.05     0.00       11     0.00     0.00  camlGenFunctionTable__makeClauseAbstract_104225
  0.00      0.05     0.00       11     0.00     0.00  caml_deserialize_error
  0.00      0.05     0.00       11     0.00     0.00  caml_float_compare
  0.00      0.05     0.00       11     0.00     0.00  caml_string_get64
  0.00      0.05     0.00        9     0.00     0.00  camlLexer____ocaml_lex_token_rec_1065
  0.00      0.05     0.00        9     0.00     0.00  camlStdlib__stream__from_401789
  0.00      0.05     0.00        9     0.00     0.00  camlStdlib__stream__of_bytes_401901
  0.00      0.05     0.00        8     0.00     0.00  caml_make_vect
  0.00      0.05     0.00        6     0.00     0.81  camlParser___menhir_run45_1143
  0.00      0.05     0.00        6     0.00     0.00  core_unix_getifaddrs
  0.00      0.05     0.00        5     0.00     0.00  camlGenFunctionTable__getTermsLastUse_104199
  0.00      0.05     0.00        5     0.00     4.92  camlStdlib__scanf__scan_hex_float_2172
  0.00      0.05     0.00        5     0.00     0.00  camlStdlib__weak__stats_301565
  0.00      0.05     0.00        5     0.00   155.83  camlUnifyTypes__unifyTypesOfInferredVars_1319
  0.00      0.05     0.00        5     0.00     0.00  caml_array_blit
  0.00      0.05     0.00        5     0.00     0.00  core_array_unsafe_int_blit
  0.00      0.05     0.00        4     0.00     0.00  camlDt__fun_2011708
  0.00      0.05     0.00        4     0.00     0.00  camlStdlib__list__rev_sort_1444
  0.00      0.05     0.00        4     0.00     2.05  camlStdlib__scanf__integer_conversion_of_char_2047
  0.00      0.05     0.00        4     0.00     0.00  camlStdlib__weak__entry
  0.00      0.05     0.00        3     0.00     0.00  camlStdlib__ephemeron__get_key_1502742
  0.00      0.05     0.00        3     0.00     0.00  camlStdlib__format__pp_open_tag_701918
  0.00      0.05     0.00        3     0.00     0.00  camlStdlib__list__assoc_opt_1266
  0.00      0.05     0.00        3     0.00     2.05  camlStdlib__list__assq_opt_1278
  0.00      0.05     0.00        3     0.00     0.00  camlStdlib__parsing__rhs_end_101869
  0.00      0.05     0.00        3     0.00     6.15  caml_callbackN_exn
  0.00      0.05     0.00        3     0.00     6.83  caml_ephe_get_key
  0.00      0.05     0.00        3     0.00     0.00  caml_ephe_get_key_copy
  0.00      0.05     0.00        3     0.00     0.00  caml_named_value
  0.00      0.05     0.00        3     0.00     0.00  caml_output_val
  0.00      0.05     0.00        3     0.00     0.00  caml_output_value
  0.00      0.05     0.00        2     0.00     0.00  camlCamlinternalFormat__fun_8706550
  0.00      0.05     0.00        2     0.00     0.00  camlCamlinternalFormat__parse_conversion_6603570
  0.00      0.05     0.00        2     0.00     0.00  camlCamlinternalFormat__parse_padding_6603566
  0.00      0.05     0.00        2     0.00     0.00  camlStdlib__hashtbl__copy_301955
  0.00      0.05     0.00        2     0.00     0.00  camlStdlib__map__Make_1056
  0.00      0.05     0.00        2     0.00     0.00  camlStdlib__scanf__scan_caml_float_rest_2191
  0.00      0.05     0.00        2     0.00     2.05  camlStdlib__scanf__scan_unsigned_int_2124
  0.00      0.05     0.00        2     0.00     8.20  camlStdlib__scanf__token_int_literal_2050
  0.00      0.05     0.00        2     0.00     2.05  camlStdlib__weak__loop_1458
  0.00      0.05     0.00        2     0.00     2.05  camlUnify__fun_606021
  0.00      0.05     0.00        2     0.00     0.00  caml_array_unsafe_get_float
  0.00      0.05     0.00        2     0.00     0.00  caml_floatarray_create
  0.00      0.05     0.00        2     0.00     2.05  caml_frexp_float
  0.00      0.05     0.00        2     0.00     0.00  caml_ml_input_char
  0.00      0.05     0.00        2     0.00     0.00  caml_ml_output_char
  0.00      0.05     0.00        2     0.00     1.02  caml_seek_out
  0.00      0.05     0.00        2     0.00     0.00  core_timegm
  0.00      0.05     0.00        1     0.00     0.00  bigstring_realloc
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__bprint_altint_fmt_1342
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__bprint_float_fmt_1352
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__bprint_fmt_1485
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__buffer_add_char_1253
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__fmtiter_1488
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__fun_8706484
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__print_start_1271
  0.00      0.05     0.00        1     0.00     0.00  camlCamlinternalFormat__type_format_gen_4402014
  0.00      0.05     0.00        1     0.00     0.00  camlCodeStructureInArg__removeAbstractInstr_4676
  0.00      0.05     0.00        1     0.00     0.00  camlCore__Core_filename__fun_207411
  0.00      0.05     0.00        1     0.00     0.00  camlCore__Core_filename__fun_207473
  0.00      0.05     0.00        1     0.00     0.00  camlDt__fun_2011558
  0.00      0.05     0.00        1     0.00     0.00  camlExecuteCode__fun_1508656
  0.00      0.05     0.00        1     0.00     2.05  camlGenCode__fun_707922
  0.00      0.05     0.00        1     0.00     2.05  camlGenFunctionTable__genFunctionTableH_404234
  0.00      0.05     0.00        1     0.00     2.05  camlGenFunctionTable__genFunctionTable_304229
  0.00      0.05     0.00        1     0.00     0.00  camlGetDeclarations__fun_606817
  0.00      0.05     0.00        1     0.00    12.30  camlInferVariableTypes__getTypesOfVariablesFromExpectedType_502736
  0.00      0.05     0.00        1     0.00     2.05  camlInferVariableTypes__newTVar_1055
  0.00      0.05     0.00        1     0.00     0.00  camlLogs__report_202578
  0.00      0.05     0.00        1     0.00     0.00  camlMain__fun_104132
  0.00      0.05     0.00        1     0.00     0.00  camlMain__runfiletest_1927
  0.00      0.05     0.00        1     0.00     0.00  camlParser___menhir_goto_sentence_item_1127
  0.00      0.05     0.00        1     0.00     2.43  camlParser___menhir_run1_1145
  0.00      0.05     0.00        1     0.00     0.00  camlParser___menhir_run64_1150
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__array__copy_1034
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__array__fill_101880
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__array__iter2_1061
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__array__stable_sort_101810
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__array__to_seq_101851
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__bigarray__get_1224
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__bigarray__reshape_3_1386
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__entry
